,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타 강간 강제추행등,방화,절도범죄,상해,폭행,체포 감금,협박,약취 유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서 인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
생활정도(하류),236,384,1412,2325,247,6752,363,1059,64243,35833,60979,432,3494,116,39148,1346,17294,28,11,129,81,5840,105,84091,12564,1225,5961,18004,41581,4508,9600,1196,235633,1482,70,269,12282,108959
생활정도(중류),69,135,412,1750,178,5597,208,322,29898,20727,35234,278,2272,42,22299,698,9434,136,79,429,23,3848,55,28513,7018,1566,4281,9212,18628,1569,6847,1378,149757,648,71,552,5104,70794
생활정도(상류),6,5,20,68,3,249,6,10,738,626,1141,18,93,5,504,41,383,4,1,57,0,166,6,863,297,142,96,215,683,125,1351,185,3165,36,3,92,71,3223
혼인관계(유배우자),122,175,325,964,96,5021,120,501,25367,27441,48750,288,2894,56,22686,601,12099,157,80,527,28,4404,96,45499,9961,2351,2700,17249,28170,2328,11402,2237,238439,1439,55,830,1997,96754
혼인관계(동거),18,27,38,90,12,223,15,81,1397,1848,4129,27,259,3,1584,43,905,1,1,33,3,175,5,2398,397,66,146,465,1014,251,334,66,4734,28,7,23,216,3431
혼인관계(이혼),59,115,166,451,44,1148,56,228,8198,6590,10104,127,940,24,4987,233,3424,1,1,30,5,1038,26,16554,2366,221,639,3477,7503,1039,2477,197,24391,234,10,21,348,20961
혼인관계(사별),12,20,13,43,3,219,10,38,2524,1337,1775,11,99,3,714,28,619,0,0,9,2,391,7,1908,440,48,59,697,1125,355,678,53,4410,30,0,23,18,4466
"미혼자부모관계(실부모,계부모)",178,249,1457,4073,380,7877,485,669,65680,24843,127550,773,5005,166,43031,2025,14702,701,505,243,248,13014,265,161846,22781,5547,8373,7278,52544,2940,5830,623,277400,664,102,224,15662,116135
